"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B07P5GP11P",false,9.99,"USD",0,0,0,2126,4,"https://www.amazon.com/dp/B07P5GP11P","8504.00",false,false,false,false,"Sponsored Ad - Google Fi SIM Card Kit","https://m.media-amazon.com/images/I/714KigtJjxL._AC_UY218_.jpg"
1,2,2,"B09KT539LW",false,38.99,"USD",0,0,0,4,1,"https://www.amazon.com/dp/B09KT539LW","4.00",false,false,false,false,"Sponsored Ad - 2 Pack Screen Protectors for Google Pixel 6 Pro COMPATIBLE WITH FINGERPRINT SENSOR Tempered Glass Full Cove...","https://m.media-amazon.com/images/I/51C0UB2yQwL._AC_UY218_.jpg"
1,3,3,"B09HJZPFDD",false,0,"USD",0,0,0,85,4.2,"https://www.amazon.com/dp/B09HJZPFDD","357.00",false,false,false,false,"Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black","https://m.media-amazon.com/images/I/71ekhW8HBgL._AC_UY218_.jpg"
1,4,4,"B093J9V5HP",false,7.99,"USD",0,0,0,135,4.3,"https://www.amazon.com/dp/B093J9V5HP","580.50",false,false,false,false,"(3 Pack) Supershieldz Designed for Google Pixel 5a 5G Tempered Glass Screen Protector, Anti Scratch, Bubble Free","https://m.media-amazon.com/images/I/614mJjhBSYS._AC_UY218_.jpg"
1,5,5,"B0964HZDSQ",false,15.99,"USD",0,0,0,156,4.8,"https://www.amazon.com/dp/B0964HZDSQ","748.80",false,true,false,false,"Spigen Rugged Armor Designed for Google Pixel 6 Case (2021) - Matte Black","https://m.media-amazon.com/images/I/51-3aKDvz2L._AC_UY218_.jpg"
1,6,6,"B0964GCFRY",false,15.99,"USD",0,0,0,235,4.5,"https://www.amazon.com/dp/B0964GCFRY","1057.50",false,false,false,false,"Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for Google Pixel 6 Pro Case (2021) - Crystal Clear","https://m.media-amazon.com/images/I/61gSqVNw4GL._AC_UY218_.jpg"
1,7,7,"B087TW7MGK",false,19.99,"USD",0,0,0,6835,3.5,"https://www.amazon.com/dp/B087TW7MGK","23922.50",false,false,false,false,"Sponsored Ad - 2000 Mah Qi Receiver Type C for Samsung Galaxy A Series A72 A71 A70 A60 A52 A51 A50 - Google Pixel - Qi Wir...","https://m.media-amazon.com/images/I/71d-vd5hUTL._AC_UY218_.jpg"
1,8,8,"B09FHPCW5S",false,16.89,"USD",0,0,0,301,4.2,"https://www.amazon.com/dp/B09FHPCW5S","1264.20",false,false,true,false,"IMBZBK Designed for Google Pixel 6 Pro 5G Screen Protector [Not Glass Protector], 3 Pack HD Flexible TPU Film with 2 Pack ...","https://m.media-amazon.com/images/I/718+Gpszf9L._AC_UY218_.jpg"
1,9,9,"B0964DDQBF",false,15.99,"USD",0,0,0,208,4.6,"https://www.amazon.com/dp/B0964DDQBF","956.80",false,false,false,false,"Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for Google Pixel 6 Case (2021) - Crystal Clear","https://m.media-amazon.com/images/I/61H4K7DABKL._AC_UY218_.jpg"
2,1,10,"B0999GN5DF",false,59.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0999GN5DF","5.00",false,false,false,false,"Sponsored Ad - 100W USB C Wall Charger - USB Charging Station with 4 Port, PD & QC 3.0 Fast Charger Station Compatible wit...","https://m.media-amazon.com/images/I/51WnzGEszKL._AC_UY218_.jpg"
2,2,11,"B09KT539LW",false,38.99,"USD",0,0,0,4,1,"https://www.amazon.com/dp/B09KT539LW","4.00",false,false,false,false,"Sponsored Ad - 2 Pack Screen Protectors for Google Pixel 6 Pro COMPATIBLE WITH FINGERPRINT SENSOR Tempered Glass Full Cove...","https://m.media-amazon.com/images/I/51C0UB2yQwL._AC_UY218_.jpg"
2,3,12,"B09FHPCW5S",false,16.89,"USD",0,0,0,301,4.2,"https://www.amazon.com/dp/B09FHPCW5S","1264.20",false,false,true,false,"IMBZBK Designed for Google Pixel 6 Pro 5G Screen Protector [Not Glass Protector], 3 Pack HD Flexible TPU Film with 2 Pack ...","https://m.media-amazon.com/images/I/718+Gpszf9L._AC_UY218_.jpg"
2,4,13,"B08CKC7D6Z",false,7.99,"USD",0,0,0,2665,4.4,"https://www.amazon.com/dp/B08CKC7D6Z","11726.00",false,false,false,false,"OMOTON [3 Pack] Screen Protector for Google Pixel 5 - Tempered Glass/Alignment Frame/Anti Scratch Screen Protector for Goo...","https://m.media-amazon.com/images/I/71AtOWi601L._AC_UY218_.jpg"
2,5,14,"B095MGX68Z",false,6.99,"USD",0,0,0,16,4.2,"https://www.amazon.com/dp/B095MGX68Z","67.20",false,false,false,false,"(6 Pack) Supershieldz Designed for Google Pixel 6 Screen Protector, High Definition Clear Shield (PET)","https://m.media-amazon.com/images/I/61LsU4+gVIS._AC_UY218_.jpg"
2,6,15,"B09CLMD6F4",false,14.99,"USD",0,0,0,101,4.3,"https://www.amazon.com/dp/B09CLMD6F4","434.30",false,false,false,false,"Crave Dual Guard for Google Pixel 6, Shockproof Protection Dual Layer Case for Google Pixel 6 - Berry","https://m.media-amazon.com/images/I/81FsOUP3m3L._AC_UY218_.jpg"
2,7,16,"B08RNQ78DF",false,12.99,"USD",0,0,0,7,4.8,"https://www.amazon.com/dp/B08RNQ78DF","33.60",false,false,false,false,"[Fingerprint Reader][2 Pack]Tempered Glass for Google Pixel 6 Screen Protector-6.4 Inch,[With Alignment][Ultra Clear]","https://m.media-amazon.com/images/I/61DauSQErOL._AC_UY218_.jpg"
2,8,17,"B0964HKSRB",false,17.99,"USD",0,0,0,178,4.6,"https://www.amazon.com/dp/B0964HKSRB","818.80",false,false,false,false,"Spigen Tough Armor Designed for Google Pixel 6 Case (2021) - Black","https://m.media-amazon.com/images/I/61qffCCFziL._AC_UY218_.jpg"
2,9,18,"B0964GCFRY",false,15.99,"USD",0,0,0,235,4.5,"https://www.amazon.com/dp/B0964GCFRY","1057.50",false,false,false,false,"Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for Google Pixel 6 Pro Case (2021) - Crystal Clear","https://m.media-amazon.com/images/I/61gSqVNw4GL._AC_UY218_.jpg"
2,10,19,"B08L5BWHFZ",false,6.99,"USD",0,0,0,1085,4.5,"https://www.amazon.com/dp/B08L5BWHFZ","4882.50",false,false,false,false,"(2 Pack) Supershieldz Designed for Google Pixel 5 Tempered Glass Screen Protector, 0.33mm, Anti Scratch, Bubble Free","https://m.media-amazon.com/images/I/61tJEJQH1TL._AC_UY218_.jpg"
1,10,20,"B0964HKSRG",false,15.99,"USD",0,0,0,163,4.7,"https://www.amazon.com/dp/B0964HKSRG","766.10",false,false,false,false,"Spigen Liquid Air Armor Designed for Google Pixel 6 Case (2021) - Matte Black","https://m.media-amazon.com/images/I/61241yoLYhL._AC_UY218_.jpg"
1,11,21,"B0964HKSRB",false,17.99,"USD",0,0,0,178,4.6,"https://www.amazon.com/dp/B0964HKSRB","818.80",false,false,false,false,"Spigen Tough Armor Designed for Google Pixel 6 Case (2021) - Black","https://m.media-amazon.com/images/I/61qffCCFziL._AC_UY218_.jpg"
1,13,23,"B0964K3MC7",false,19.99,"USD",0,0,0,198,4.6,"https://www.amazon.com/dp/B0964K3MC7","910.80",false,false,false,false,"Spigen Tough Armor Designed for Google Pixel 6 Pro Case (2021) - Gunmetal","https://m.media-amazon.com/images/I/61tJUBI7qqL._AC_UY218_.jpg"
1,14,24,"B088TNYNDC",true,10.99,"USD",12.99,2,15.4,3255,4.5,"https://www.amazon.com/dp/B088TNYNDC","14647.50",false,false,false,false,"USB C Fast Wall Charger Compatible Google Pixel 6 5 4 XL 4a / 3a XL / 3 / XL / 2, 18W 3A PD Power Adapter and 3.3FT Type C...","https://m.media-amazon.com/images/I/51csy9276PL._AC_UY218_.jpg"
1,15,25,"B0964H8HVY",false,15.99,"USD",0,0,0,151,4.6,"https://www.amazon.com/dp/B0964H8HVY","694.60",false,false,false,false,"Spigen Liquid Air Armor Designed for Google Pixel 6 Pro Case (2021) - Matte Black","https://m.media-amazon.com/images/I/71AZ+haEcqL._AC_UY218_.jpg"
1,16,26,"B09CMN5J8X",true,11.29,"USD",11.99,0.7,5.84,146,3.3,"https://www.amazon.com/dp/B09CMN5J8X","481.80",false,false,false,false,"LK 2 Pack Screen Protector Compatible for Google Pixel 6 5G with 2 Pack Camera Lens Protector [Not fit for Google Pixel 6 ...","https://m.media-amazon.com/images/I/71ozzcDQnLL._AC_UY218_.jpg"
1,18,28,"B0989W3MHM",false,14.99,"USD",0,0,0,131,4.3,"https://www.amazon.com/dp/B0989W3MHM","563.30",false,false,false,false,"Ferilinso Designed for Google Pixel 6 5G Case, Shockproof Protective Phone Case Slim Cover, Military Grade Protection, 10X...","https://m.media-amazon.com/images/I/71HkVMgd0JL._AC_UY218_.jpg"
1,19,29,"B07KSSQQLZ",false,209.95,"USD",0,0,0,598,4.3,"https://www.amazon.com/dp/B07KSSQQLZ","2571.40",false,false,false,false,"Google - Pixel 3 with 64GB Memory Cell Phone (Unlocked) - Not Pink","https://m.media-amazon.com/images/I/71krmniFaeL._AC_UY218_.jpg"
1,20,30,"B09JZ51J97",false,13.99,"USD",0,0,0,207,4.1,"https://www.amazon.com/dp/B09JZ51J97","848.70",false,false,false,false,"[Fingerprint Compatible][2+2 ]2 Pack 3D Tempered Glass for Google Pixel 6 Pro Screen Protector[6.7 Inch] + 2 Pack Camera L...","https://m.media-amazon.com/images/I/71TPh-k1koL._AC_UY218_.jpg"
1,21,31,"B095N5NDHY",true,14.89,"USD",16.89,2,11.84,129,4.2,"https://www.amazon.com/dp/B095N5NDHY","541.80",false,false,false,false,"IMBZBK Shockproof Designed for Google Pixel 6 Pro 5G Case (Not FIT Pixel 6), Matte Hard PC Back & Flexible Frame [Military...","https://m.media-amazon.com/images/I/71cYQKfBXWL._AC_UY218_.jpg"
2,12,34,"B087TW7MGK",false,19.99,"USD",0,0,0,6835,3.5,"https://www.amazon.com/dp/B087TW7MGK","23922.50",false,false,false,false,"Sponsored Ad - 2000 Mah Qi Receiver Type C for Samsung Galaxy A Series A72 A71 A70 A60 A52 A51 A50 - Google Pixel - Qi Wir...","https://m.media-amazon.com/images/I/71d-vd5hUTL._AC_UY218_.jpg"
2,13,35,"B09KN2XDZ8",false,10.99,"USD",0,0,0,2,4.5,"https://www.amazon.com/dp/B09KN2XDZ8","9.00",false,false,false,false,"[Fingerprint Reader Worked] Screen Protector for Google Pixel 6 [3 Pack] with [3 Pack] HD Camera Lens Protector Tempered G...","https://m.media-amazon.com/images/I/71uucy1H6kL._AC_UY218_.jpg"
2,14,36,"B0964K3MC7",false,19.99,"USD",0,0,0,198,4.6,"https://www.amazon.com/dp/B0964K3MC7","910.80",false,false,false,false,"Spigen Tough Armor Designed for Google Pixel 6 Pro Case (2021) - Gunmetal","https://m.media-amazon.com/images/I/61tJUBI7qqL._AC_UY218_.jpg"
2,16,38,"B0964HKSRG",false,15.99,"USD",0,0,0,163,4.7,"https://www.amazon.com/dp/B0964HKSRG","766.10",false,false,false,false,"Spigen Liquid Air Armor Designed for Google Pixel 6 Case (2021) - Matte Black","https://m.media-amazon.com/images/I/61241yoLYhL._AC_UY218_.jpg"
2,17,39,"B083XK4T4G",false,7.49,"USD",0,0,0,806,4.5,"https://www.amazon.com/dp/B083XK4T4G","3627.00",false,false,false,false,"(2 Pack) Supershieldz Designed for Google Pixel 4 Tempered Glass Screen Protector with (Easy Installation Tray) Anti Scrat...","https://m.media-amazon.com/images/I/71cSToNdJ+L._AC_UY218_.jpg"
2,18,40,"B08CKP2SNG",false,7.98,"USD",0,0,0,1899,4.6,"https://www.amazon.com/dp/B08CKP2SNG","8735.40",false,false,false,false,"OMOTON [3-Pack] Screen Protector for Google Pixel 4a 5G 6.2 Inch [Not Fit for Pixel 4a 4G], Tempered Glass Screen Protecto...","https://m.media-amazon.com/images/I/71ck09YpnML._AC_UY218_.jpg"
