"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B08CKR6M86",true,89.99,"USD",109.99,20,18.18,43,4.3,"https://www.amazon.com/dp/B08CKR6M86","184.90",false,false,false,false,"Sponsored Ad - Far Cry 6 PlayStation 4 Gold Steelbook Edition with free upgrade to the digital PS5 version","https://m.media-amazon.com/images/I/91GLLEp9yOL._AC_UY218_.jpg"
1,2,2,"B074LRF639",false,524,"USD",0,0,0,7290,4.8,"https://www.amazon.com/dp/B074LRF639","34992.00",false,false,true,false,"PlayStation 4 Console - 1TB Slim Edition","https://m.media-amazon.com/images/I/715RBdgZtHL._AC_UY218_.jpg"
1,3,3,"B077QT6K94",false,0,"USD",0,0,0,2911,4.8,"https://www.amazon.com/dp/B077QT6K94","13972.80",false,false,false,false,"SONY PlayStation 4 Slim 1TB Console, Light & Slim PS4 System, 1TB Hard Drive, All the Greatest Games, TV, Music & More","https://m.media-amazon.com/images/I/61OL2zIliML._AC_UY218_.jpg"
1,4,4,"B08232YKXB",false,649.99,"USD",0,0,0,966,4.7,"https://www.amazon.com/dp/B08232YKXB","4540.20",false,false,false,false,"Newest Flagship Sony Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle - Included 3X Games (The Last of U...","https://m.media-amazon.com/images/I/71ZrwxeXnXL._AC_UY218_.jpg"
1,5,5,"B07HHW8C4V",false,0,"USD",0,0,0,2588,4.7,"https://www.amazon.com/dp/B07HHW8C4V","12163.60",false,false,false,false,"PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued]","https://m.media-amazon.com/images/I/711xGPcLL2L._AC_UY218_.jpg"
1,6,6,"B01M0RU6LY",false,539,"USD",0,0,0,1674,4.6,"https://www.amazon.com/dp/B01M0RU6LY","7700.40",false,false,false,false,"PlayStation 4 Slim 500GB Console [Discontinued]","https://m.media-amazon.com/images/I/71PGvPXpk5L._AC_UY218_.jpg"
1,7,7,"B07MLWLYCN",false,899.9,"USD",0,0,0,766,4.5,"https://www.amazon.com/dp/B07MLWLYCN","3447.00",false,false,false,false,"Sony PlayStation 4 Pro 1TB White (PS4)","https://m.media-amazon.com/images/I/71NyRR72fWL._AC_UL320_.jpg"
1,8,8,"B07VJWMQ5T",false,0,"USD",0,0,0,4364,4.8,"https://www.amazon.com/dp/B07VJWMQ5T","20947.20",false,false,false,false,"PlayStation 4 Slim 1TB Console - Fortnite Bundle","https://m.media-amazon.com/images/I/71uPr4KromL._AC_UY218_.jpg"
1,9,9,"B07RLWTXKG",true,24.99,"USD",39.99,15,37.51,5449,3.8,"https://www.amazon.com/dp/B07RLWTXKG","20706.20",false,false,true,false,"MOVONE Wireless Controller Dual Vibration Game Joystick Controller for PS4/ Slim/Pro,Compatible with PS4 Console (White+Bl...","https://m.media-amazon.com/images/I/51JK1ma1YXL._AC_UY218_.jpg"
2,3,12,"B01LOP8EZC",false,0,"USD",0,0,0,11842,4.7,"https://www.amazon.com/dp/B01LOP8EZC","55657.40",false,false,false,false,"PlayStation 4 Pro 1TB Console","https://m.media-amazon.com/images/I/6118ctEjpoL._AC_UY218_.jpg"
2,4,13,"B07K14XKZH",false,0,"USD",0,0,0,3664,4.6,"https://www.amazon.com/dp/B07K14XKZH","16854.40",false,false,false,false,"Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro)","https://m.media-amazon.com/images/I/71jN27mYlhL._AC_UY218_.jpg"
